,位置,百度指数
77,唐山市,71.24109589
78,商丘市,48.61369863
79,商洛市,6.038356164
80,喀什地区,15.35342466
81,嘉兴市,85.78356164
82,嘉峪关市,1.419178082
83,四平市,13.53150685
84,固原市,6.043835616
85,图木舒克市,0.317808219
86,塔城地区,5.82739726
87,大兴安岭地区,2.350684932
88,大同市,35.87123288
89,大庆市,26.57260274
90,大理白族自治州,30.24657534
91,大连市,101.8849315
92,天水市,20.85479452
93,天津市,128.7205479
94,天门市,0.630136986
95,太原市,117.6356164
96,威海市,40.27123288
97,娄底市,22.40547945
98,孝感市,20.72876712
99,宁德市,22.37808219
100,宁波市,114.4712329
101,安庆市,23.97808219
102,安康市,10.76712329
103,安阳市,38.63835616
104,安顺市,30.84657534
105,定安县市,0.312328767
106,定西市,11.97808219
107,宜宾市,39.63013699
108,宜昌市,42.98356164
109,宜春市,37.25205479
110,宝鸡市,22.13150685
111,宣城市,17.56164384
112,宿州市,27.7369863
113,宿迁市,30.02465753
114,屯昌县市,0.312328767
115,山南市,2.830136986
116,岳阳市,31.95616438
117,崇左市,29.33150685
118,巴中市,14.8739726
119,巴彦淖尔市,10.16712329
120,巴音郭楞蒙古自治州,18.76712329
121,常州市,78.70136986
122,常德市,38.78630137
123,平凉市,14.31780822
124,平顶山市,40.24383562
125,广元市,10.15890411
126,广安市,10.75342466
127,广州市,157.1506849
128,庆阳市,12.60273973
129,廊坊市,73.52328767
130,延安市,23.50136986
131,延边朝鲜族自治州,21.08493151
132,开封市,36.81369863
133,张家口市,29.31780822
134,张家界市,10.60547945
135,张掖市,9.010958904
136,徐州市,80.27671233
137,德宏傣族景颇族自治州,8.383561644
138,德州市,41.91232877
139,德阳市,35.46027397
140,忻州市,28.78356164
141,怀化市,22.21369863
142,怒江傈僳族自治州,1.723287671
143,恩施土家族苗族自治州,35.54520548
144,惠州市,57.13150685
145,成都市,171.3068493
146,扬州市,59.85205479
147,承德市,31.44931507
148,抚州市,20.04109589
149,抚顺市,13.39726027
150,拉萨市,18.37534247
151,揭阳市,29.5890411
152,攀枝花市,5.334246575
153,文山壮族苗族自治州,6.191780822
154,文昌市,4.087671233
155,新乡市,68.38356164
156,新余市,10.35616438
157,无锡市,98.47671233
158,日喀则市,3.769863014
159,日照市,32.85205479
160,昆明市,123.0438356
161,昌吉回族自治州,12.35890411
162,昌江黎族自治县市,1.424657534
163,昌都市,1.578082192
164,昭通市,10.18630137
165,晋中市,59.96164384
166,晋城市,32.07671233
167,普洱市,13.81643836
168,景德镇市,21.89863014
169,曲靖市,35.44383562
170,朔州市,14.62739726
171,朝阳市,15.47671233
172,本溪市,9.271232877
173,来宾市,6.490410959
174,杭州市,162.7068493
175,松原市,10.45753425
176,林芝市,2.660273973
177,果洛藏族自治州,1.410958904
178,枣庄市,27.57808219
179,柳州市,37.58630137
180,株洲市,32.58356164
181,桂林市,68.51506849
182,梅州市,23.53150685
183,梧州市,18.41643836
184,楚雄彝族自治州,5.498630137
185,榆林市,32.6
186,武威市,8.704109589
187,武汉市,150.9671233
188,毕节市,24.28767123
189,永州市,17.55068493
190,汉中市,23.06849315
191,汕头市,67.95616438
192,汕尾市,16.17808219
193,江门市,45
194,池州市,13.33424658
195,沈阳市,115.139726
196,沧州市,50.62739726
197,河池市,9.967123288
198,河源市,22.13972603
199,泉州市,96.33150685
200,泰安市,48.74520548
201,泰州市,43.80273973
202,泸州市,24.93150685
203,洛阳市,84.52328767
204,济南市,131.8712329
205,济宁市,64.2109589
206,济源市,3.783561644
207,海东市,4.895890411
208,海北藏族自治州,1.893150685
209,海南藏族自治州,2.504109589
210,海口市,69.73972603
211,海西蒙古族藏族自治州,4.928767123
212,淄博市,63.75342466
213,淮北市,12.96986301
214,淮南市,13.70958904
215,淮安市,46.00273973
216,深圳市,150.5342466
217,清远市,27.71506849
218,温州市,102.2383562
219,渭南市,34.52054795
220,湖州市,39.93424658
221,湘潭市,35.39726027
222,湘西土家族苗族自治州,16.74520548
223,湛江市,42.82739726
224,滁州市,25.38082192
225,滨州市,38.04109589
226,漯河市,14.36986301
227,漳州市,55.43287671
228,潍坊市,88.89863014
229,潜江市,3.64109589
230,潮州市,19.50958904
231,澄迈县市,1.873972603
232,澳门市,14.99726027
233,濮阳市,21.83287671
234,烟台市,87.42739726
235,焦作市,34.79726027
236,牡丹江市,23.19452055
237,玉林市,25.22465753
238,玉树藏族自治州,2.668493151
239,玉溪市,20.37534247
240,珠海市,58.76712329
241,琼中黎族苗族自治县市,0.942465753
242,琼海市,4.019178082
243,甘南藏族自治州,7.890410959
244,甘孜藏族自治州,10.68493151
245,白城市,6.460273973
246,白山市,5.961643836
247,白沙黎族自治县市,0.312328767
248,白银市,7.41369863
249,百色市,19.0739726
250,益阳市,21.1890411
251,盐城市,51.78630137
252,盘锦市,10.99726027
253,眉山市,23.92328767
254,石嘴山市,9.235616438
255,石家庄市,124.7452055
256,石河子市,5.964383562
257,福州市,116
258,秦皇岛市,40.04109589
259,红河哈尼族彝族自治州,18.61369863
260,绍兴市,75.5890411
261,绥化市,17.69315068
262,绵阳市,47.24931507
263,聊城市,52.50136986
264,肇庆市,31.95342466
265,自贡市,20.26027397
266,舟山市,17.37808219
267,芜湖市,39.34794521
268,苏州市,128.8219178
269,茂名市,26.39452055
270,荆州市,26.95068493
271,荆门市,39.23013699
272,莆田市,22.35068493
273,莱芜市,6.783561644
274,菏泽市,59.44109589
275,萍乡市,14.75890411
276,营口市,12.59452055
277,葫芦岛市,10.56438356
278,蚌埠市,31.68767123
279,衡水市,27.23561644
280,衡阳市,37.80821918
281,衢州市,32.78630137
282,襄阳市,39.09863014
283,西双版纳傣族自治州,3.928767123
284,西宁市,46.32876712
285,西安市,140.7013699
286,许昌市,31.65753425
287,贵港市,11.33150685
288,贵阳市,105.030137
289,贺州市,15.09863014
290,资阳市,6.942465753
291,赣州市,68.01643836
292,赤峰市,57.61369863
293,辽源市,4.895890411
294,辽阳市,8.065753425
295,达州市,18.87945205
296,运城市,46.49863014
297,连云港市,43.83835616
298,迪庆藏族自治州,2.821917808
299,通化市,10.92876712
300,通辽市,25.96164384
301,遂宁市,8.942465753
302,遵义市,63.38630137
303,邢台市,45.09041096
304,那曲地区,2.369863014
305,邯郸市,69.58356164
306,邵阳市,26.57534247
307,郑州市,139.9205479
308,郴州市,25.61917808
309,鄂尔多斯市,29.0630137
310,鄂州市,10.57260274
311,酒泉市,7.449315068
312,重庆市,169.430137
313,金华市,73.35890411
314,金昌市,5.367123288
315,钦州市,15.10684932
316,铁岭市,16.48219178
317,铜仁市,17.35890411
318,铜川市,3.032876712
319,铜陵市,9.405479452
320,银川市,57.66027397
321,锡林郭勒盟,12.6630137
322,锦州市,23.34794521
323,镇江市,50.65753425
324,长春市,107.4849315
325,长沙市,156.4767123
326,长治市,57.94794521
327,阜新市,8.323287671
328,阜阳市,28.89589041
329,防城港市,4.542465753
330,阳江市,11.2
331,阳泉市,15
332,阿克苏地区,8.684931507
333,阿勒泰地区,5.665753425
334,阿坝藏族姜族自治州,5.983561644
335,阿拉善盟,6.61369863
336,阿拉尔市,2.980821918
337,阿里地区,0.312328767
338,陇南市,12.15616438
339,陵水黎族自治县市,1.098630137
340,随州市,10.80821918
341,雅安市,8.095890411
342,青岛市,131.8054795
343,鞍山市,27.97260274
344,韶关市,32.3890411
345,香港市,28.08493151
346,马鞍山市,16.96712329
347,驻马店市,28.68219178
348,鸡西市,8.506849315
349,鹤壁市,10.62191781
350,鹤岗市,5.326027397
351,鹰潭市,8.698630137
352,黄冈市,30.97534247
353,黄南藏族自治州,1.561643836
354,黄山市,23.09863014
355,黄石市,26.68219178
356,黑河市,10.56712329
357,黔东南苗族侗族自治州,29.30958904
358,黔南布依族苗族自治州,36.64383562
359,黔西南布依族苗族自治州,14.83835616
360,齐齐哈尔市,27.61369863
361,龙岩市,23.66027397
